index,id_,university_name,abbreviation,website,wikipedia,university_type,ranking_us_news_2023,graduation_year,location,graduation_rate,domestic_student_tuition,international_student_tuition,ranking_qs_news_2024,ranking_times_rank_2024,description,ranking_arwu_rank_2023,important_calendar,statistics,faculty,popular_programs,programs,others,characteristics
Abilene Christian University,201,Abilene Christian University,ACU,https://www.acu.edu,https://en.wikipedia.org/wiki/Abilene_Christian_University,private college,#320 in National Universities,4,"Abilene, Texas, United States",67%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Abilene Christian University (ACU), located in Abilene, Texas, is a private Christian university affiliated with the Churches of Christ. Known for integrating faith and learning, ACU is committed to transformative, experiential education that is rooted in Christian values and fosters spiritual growth. The university offers a wide range of undergraduate and graduate programs, emphasizing a liberal arts education and professional studies. ACU is also recognized for its research initiatives and active campus life that includes various spiritual, cultural, and sporting activities.",,https://acu.edu/academics/calendar/,"Undergraduate Programs: 70
Master's Programs: 27
Doctoral Programs: 3","Business Administration
Health and Behavioral Sciences
Science and Engineering
Graduate and Professional Studies
Honors College","Computer Science
Nursing
Psychology Programs","Business Management (BS)
Child and Family Services (BS)
Christian Ministry and Spiritual Formation (BS)
Communication Sciences and Disorders (BS)
Criminal Justice (BS)
School Psychology (SSP)
Social Work - Advanced Standing (MS)
Social Work (MS)
Speech-Language Pathology (MS)
Strength, Conditioning, and Human Performance (MS)
Teaching and Learning (MEd)
Theology (MTS)",,"Abilene Christian University (ACU) is recognized for its strong commitment to integrating faith and learning within its educational programs. Here are some key characteristics:

Christian Foundation: ACU is deeply rooted in the Christian faith, specifically within the Churches of Christ heritage. This foundation is reflected in its curriculum and campus life, where spiritual growth is encouraged alongside academic achievement.

Academic Excellence: ACU is committed to high academic standards and offers a variety of undergraduate and graduate programs. The university is known for its innovative approach to higher education, incorporating technology and experiential learning opportunities across disciplines.

Community Engagement: The university emphasizes service and leadership, encouraging students to engage in community service and social justice initiatives both locally and globally. This is part of ACU's mission to develop students who are thoughtful, compassionate, and skilled leaders.

Global Perspective: ACU fosters a global perspective among its students through study abroad programs, missions, and international partnerships. This helps prepare students to work and serve in an increasingly interconnected world.

Innovative Research: ACU supports research initiatives across its colleges, promoting a culture of inquiry and innovation that contributes to academic excellence and societal advancement."
Abraham Baldwin Agricultural College,202,Abraham Baldwin Agricultural College,ABAC,https://www.abac.edu,https://en.wikipedia.org/wiki/Abraham_Baldwin_Agricultural_College,private college,#57 in Regional Colleges South,4,"Tifton, Georgia, United States
Bainbridge, Georgia, United States
Blakely, Georgia, United States
Donalsonville, Georgia, United States",29%,"CAD $6,128 - $7,946",,,,"Abraham Baldwin Agricultural College (ABAC) is a public college located in Tifton, Georgia. It is part of the University System of Georgia and focuses on providing unique bachelor's degrees in a variety of fields including agriculture, natural resources, and liberal arts. The college emphasizes hands-on learning experiences and maintains a strong commitment to enhancing the agricultural and natural resource industries. ABAC also offers a range of associate degrees and has a rich history dating back to its founding in 1908.",,https://www.abac.edu/calendar/,"Undergraduate Programs: 17
Master's Programs: 1
PhD Programs: 0","School of Agriculture and Natural Resources
School of Arts and Sciences
School of Nursing and Health Sciences
Stafford School of Business","Nursing
Liberal Arts and Humanities
Agriculture","Associate of Fine Arts in Music - Instrumental
Associate of Fine Arts in Music - Voice
BS-BUSI Program
Associate of Science in Nursing (ASN-GNUR Program)
Associate of Science - Core Curriculum
Associate of Arts - Core Curriculum
Associate of Fine Arts",,"Abraham Baldwin Agricultural College (ABAC) is recognized for its strong emphasis on agricultural and natural resource education, providing students with extensive hands-on learning opportunities. Here are some key characteristics:

Premier Destination for Agricultural Studies: Since its inception in 1908, ABAC has established itself as a leading institution in the South for agricultural education, offering unique, practical experiences that are integral to its curriculum.

Expansive Academic Offerings: Initially focused on agriculture, ABAC has expanded its academic programs to include a wide range of traditional 4-year degrees, catering to a diverse student body with varied academic interests.

Commitment to Affordable Education: ABAC is noted for its affordability, providing low tuition costs and generous financial aid options. This commitment helps students achieve their educational goals without accruing significant debt, earning the college recognition as a Best Value School.

Small Class Sizes and Quality Instruction: The college maintains small class sizes, ensuring personalized attention and high-quality instruction from experienced faculty, which enhances the learning experience and prepares students effectively for their future careers.

Diverse Academic Programs: ABAC offers more than 40 academic programs across various fields, including the School of Arts and Sciences, Stafford School of Business, School of Nursing and Health Sciences, and the School of Agriculture and Natural Resources, supporting a comprehensive educational environment."
Academy of Art University,203,Academy of Art University,AAU,https://www.academyart.edu,https://en.wikipedia.org/wiki/Academy_of_Art_University,private college,#105-115 in Regional Universities West,4,"San Francisco, California, United States",33%,"CAD $3,378","$1,404 per unit",,,"The Academy of Art University, located in San Francisco, California, is a privately owned for-profit art school. It was founded in 1929 by Richard S. Stephens and offers various undergraduate and graduate programs focusing on design, entertainment, fine arts, and liberal arts. The university is known for its inclusive admission policy and commitment to providing education in the arts to a diverse student body.",,https://www.academyart.edu/finances/important-forms-and-dates/,"Undergraduate Programs: 99
Master's and PhD Programs: 84","School of Acting
School of Advertising
School of Animation & Visual Effects
School of Architecture
School of Art Education & Art Teaching Credential
School of Communications & Media Technologies
School of Fashion
School of Fine Art
School of Game Development
School of Graphic Design
School of Illustration
School of Industrial Design
School of Interior Architecture & Design
School of Jewelry & Metal Arts
School of Landscape Architecture
School of Motion Pictures & Television
School of Music Production & Sound Design for Visual Media
School of Photography
School of Visual Development
School of Web Design & New Media
School of Writing for Film, Television & Digital Media","Education Program
Sauder Business School
Engineering Program","Fine Art
Visual Development
Graphic Design
Interior Architecture & Design",,"Academy of Art University is recognized as one of the top ten universities in the United States for its Art and Art History programs. It is one of the largest private, accredited art and design schools in the nation, offering a hands-on learning environment that resembles a creative startup more than a traditional classroom. The university is unique for its integration of professional artists and designers as instructors, bringing real-world expertise directly into the classroom. Additionally, the university's Classic Car Museum contributed vehicles for the San Francisco Giants' victory parades, highlighting its unique resources and community involvement. Founded in 1929 in San Francisco and remaining family-owned, it emphasizes professional preparation in the arts, with a broad array of art and design classes, and multiple degree and certificate programs."
Adams State University,204,Adams State University,ASU,https://www.adams.edu,https://en.wikipedia.org/wiki/Adams_State_University,private college,#99 in Regional Universities West,4,"Alamosa, Colorado, United States",29%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Adams State University, located in Alamosa, Colorado, is a public university primarily focused on undergraduate education. It offers a variety of degree programs across different fields including business, education, and the arts and sciences. Known for its small class sizes and personalized attention, Adams State is dedicated to fostering a supportive learning environment. The university also emphasizes accessibility and affordability, making higher education possible for a diverse student body.",,https://events.adams.edu/#!view/all/categories/Academic Calendar,,"Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics",Clinical Mental Health Counseling\nSchool Counseling\nSports Psychology,"MBA Online Finance
MBA Online Healthcare Administration
MBA Online Leadership
MBA Online Public Administration
MBA Online Sport Leadership
Certificate Only Online Finance
Certificate Only Online Business Quantitative Skills
Certificate Only Online Public Administration
Certificate Only Online Health Administration
MS Exercise Science
MA Online Cultural Resource Management
MS Online Kinesiology Coaching
PhD Counselor Education and Supervision
MA Clinical Mental Health",,"Adams State University is characterized by its strong commitment to providing equitable access to education and promoting successful and engaged lives. Here are some key highlights:

Student-Centered Education: Adams State focuses on the student experience, ensuring that education is not confined to the classroom but extends to extracurricular activities and community engagement in the San Luis Valley.

Diversity and Inclusion: As Colorado's premier Hispanic Serving Institution, Adams State emphasizes diversity and inclusion, drawing on its rural location to serve a diverse student body.

Economic Impact: The university significantly impacts the local economy, particularly in the San Luis Valley, through its educational programs and scholarships.

Historical Commitment to Education: Founded in 1921 with the mission to educate teachers for rural Colorado, Adams State has expanded its mission while maintaining a focus on individual care and attention to student success.

Innovative Programs: Adams State offers unique programs such as the most affordable online program for a Master's in Sports Psychology, highlighting its role in advancing educational accessibility and professional development."
Adelphi University,205,Adelphi University,AU,https://www.adelphi.edu,https://en.wikipedia.org/wiki/Adelphi_University,private college,#163 in National Universities,4,"Garden City, New York, United States
Manhattan, New York, United States
Hudson Valley, New York, United States
Hauppauge, New York, United States",65%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,1501+,"Adelphi University, located in Garden City, New York, is a private university known for its strong focus on arts and sciences, professional training, and commitment to providing personalized attention to its students. The university offers a wide range of undergraduate and graduate programs, fostering an environment that encourages innovation, collaboration, and community engagement.",,https://www.adelphi.edu/academics/academic-calendar/,,"College of Nursing and Public Health
School of Social Work
Ruth S. Ammon School of Education
Levermore Global Scholars
Political Science
Creative Writing, M.F.A. Program
Psychology, B.A. Program","Nursing Program
Public Health Program
Social Work Program
Audiology Program
Business Administration Program","Accounting, Anthropology, Art, Art History, Biochemistry, Biology, Business, Chemistry, Communications, Computer Science, Criminal Justice, Dance, Digital Production, Economics, Education, English, Environmental Studies, Finance, French, Graphic Design, History, Information Systems, International Studies, Latin American Studies, Management, Marketing, Mathematics, Music, Nursing, Philosophy, Physics, Political Science, Psychology, Social Work, Sociology, Spanish, Sports Management, Theatre Arts",,"Adelphi University is characterized by a rich history and a commitment to providing a high-quality education. Here are some key characteristics:

Historical Significance: Founded in 1863, Adelphi University has a long-standing history, being the first private, coeducational university on Long Island. This historical depth adds to its prestige and the educational experience it offers.

Academic Excellence: Adelphi is recognized for its academic rigor and has been ranked by U.S. News & World Report in several categories, including Best College, Best Value Schools, and Best First-Year Experiences. This reflects its commitment to providing excellent educational outcomes.

Traditions and Community Engagement: The university maintains a vibrant tradition from Late-Night Breakfast to Midnight Madness, fostering a strong sense of community and belonging among students.

Research Opportunities: Adelphi provides unique research opportunities for students, even at the undergraduate level, which is not commonly available at larger institutions. This hands-on approach helps in nurturing skilled professionals who are ready to contribute to their fields.

Diverse Programs: Offering over 120 undergraduate and graduate programs through its eight schools and colleges, Adelphi caters to a wide range of interests and career aspirations, making it a versatile institution for higher education."
Adrian College,206,Adrian College,AC,https://www.adrian.edu,https://en.wikipedia.org/wiki/Adrian_College,private college,#29 in Regional Colleges Midwest,4,"Adrian, Michigan, United States",59%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Adrian College is a liberal arts college affiliated with the United Methodist tradition, dedicated to the pursuit of truth and the dignity of all people. It emphasizes active and creative learning within a supportive community, encouraging undergraduate and graduate students to excel academically, personally, and professionally. The college also focuses on contributing to a more socially just society. Adrian College has been recognized in the U.S. News & World Report rankings, notably for innovation, undergraduate teaching, and value among regional colleges in the Midwest.",,https://www.adrian.edu/academics/academic-calendar,"Undergraduate Programs: 50
Master's Programs: 2
PhD Programs: 0","Chemistry & Biochemistry
Physics
Graphic Design
Computer Science
Sociology
Exercise Science","Education Program
Sauder Business School
Engineering Program","50 majors and pre-professional programs
advanced 3+2 master's programs
more than 70 undergraduate programs
60 minors and certificates
graduate programs",,"Adrian College is recognized as a top regional college in the Midwest by U.S. News & World Report, consistently ranking well in categories such as ""Most Innovative"" and for its first-year experience. It is a liberal arts college in the United Methodist tradition, emphasizing a commitment to the pursuit of truth and the dignity of all people. Adrian offers a supportive community where undergraduate and graduate students are encouraged to achieve excellence academically, personally, and professionally. The college provides a broad range of undergraduate programs, minors, and certificates, catering to diverse academic interests and career aspirations. Adrian College also maintains its historical affiliation with the Methodist Church, reflecting its long-standing values and educational philosophy."
AdventHealth University,207,AdventHealth University,AHU,https://www.ahu.edu,https://en.wikipedia.org/wiki/AdventHealth_University,private college,Unranked in Health Professions Schools,4,"Orlando, Florida, United States
Denver, Colorado, United States",89%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"AdventHealth University (AHU), located in Orlando, Florida, is a Seventh-day Adventist institution specializing in healthcare education. The university offers undergraduate and graduate programs focused on nursing and allied health professions. AHU is committed to providing spiritual education alongside professional healthcare training, emphasizing whole-person care.",,https://www.ahu.edu/academics/academic-calendar,,"Biomedical Sciences, Department of
Health and Biomedical Sciences, College of
Nursing, Department of
Occupational Therapy, Department of
Physical Therapy, Department of
Physician Assistant Studies, Department of
Radiologic Sciences, Department of","Education Program
Sauder Business School
Engineering Program","Biomedical Sciences, Diagnostic Medical Sonography, Health Sciences, Nuclear Medicine Technology, Nursing, Occupational Therapy Assistant, Physical Therapist Assistant, Radiologic Technology, Healthcare Administration, Nurse Anesthesia, Occupational Therapy, Physical Therapy",,"AdventHealth University (AHU) is a Seventh-day Adventist institution specializing in healthcare education. Located in Orlando, Florida, AHU offers a variety of programs focused on allied health and nursing. The university is committed to providing a holistic education that emphasizes whole-person care, integrating faith with learning in healthcare.

Dedicated to Excellence in Healthcare Education: AHU is known for its strong emphasis on healthcare education, offering degrees in nursing, radiologic sciences, occupational and physical therapy, among others. Its programs are designed to equip students with the necessary skills to excel in various healthcare settings.

Faith-based Learning Environment: As a faith-based institution, AHU incorporates spiritual growth into its curriculum, aiming to develop healthcare professionals who are not only skilled but also compassionate and ethical in their practice.

State-of-the-art Facilities: The university boasts modern facilities that include simulation labs and clinical environments. These resources provide students with hands-on experience, essential for effective learning and preparation for real-world medical challenges.

Community Engagement: AHU encourages students to engage with the community through various outreach and service programs. This engagement helps students gain practical experience while also fulfilling the university's mission of extending the healing ministry of Christ."
Agnes Scott College,208,Agnes Scott College,ASC,https://www.agnesscott.edu,https://en.wikipedia.org/wiki/Agnes_Scott_College,private college,#63 in National Liberal Arts Colleges,4,"Decatur, Georgia, United States",71%,"CAD $55,360","CAD $37,038 - $51,448",,,"Agnes Scott College, located in Decatur, Georgia, is a private women's liberal arts college. It is affiliated with the Presbyterian Church (USA) and is known for its rigorous academics and commitment to women's education. The college offers a variety of undergraduate programs and emphasizes leadership development, global learning, and service to the community. Agnes Scott is also noted for its beautiful campus which features Gothic architecture and is designated as a botanical garden.",,https://www.agnesscott.edu/registrar/academic-calendar/index.html,"Undergraduate Programs: 34
Master's Programs: 1
PhD Programs: 0",,"Education Program
Sauder Business School
Engineering Program",Pre-Med\nPre-Allied Health\nMedical Sciences\nPhysician Assistant Studies\nPsychology\nPhysics\nM.S. in Medical Sciences Accelerated\nPreparation for Medicine (Pre-Med)\nMaster of Science in Medical Sciences Online Accelerated\nStrategic Communication and Advocacy\nPublic Engagement,,"Agnes Scott College is recognized for its strong commitment to environmental responsibility, as evidenced by its ranking in the 2019 Princeton Review's Guide to Green Colleges. The college's campus is a designated Tree Campus USA, highlighting its dedication to sustainability and the preservation of historic natural landscapes. 

The college also boasts a rich historical heritage, with the Betty Pope Scott Noble '44 College Heritage Center located in McCain Library, which houses a collection of historical documents, photographs, and artifacts related to the college's namesake and the Scott family. The oldest building on campus, Agnes Scott ""Main"" Hall, erected in 1891, is still in use, adding to the college's historical charm.

Academically, Agnes Scott is noted for its innovative liberal arts program, SUMMIT, which prepares students for global leadership. The college has received high rankings from U.S. News & World Report for its First-Year Experience and Undergraduate Teaching, among other areas.

The college is also committed to making education accessible, offering significant merit-based scholarships to incoming students, which underscores its dedication to supporting students financially.

Overall, Agnes Scott College fosters an environment that encourages high expectations and personal development, making it a unique place for women to grow as individuals, scholars, professionals, and citizens."
Alabama A&M University,209,Alabama A&M University,AAMU,https://www.aamu.edu,https://en.wikipedia.org/wiki/Alabama_A%26M_University,private college,#98 in Regional Universities South,4,"Huntsville, Alabama, United States",89%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Alabama A&M University (AAMU), located in Huntsville, Alabama, is a public, historically black university. It was established in 1875 and is a member of the Thurgood Marshall College Fund. The university offers a range of undergraduate, graduate, and doctoral programs across various fields such as engineering, natural sciences, business, and social sciences. AAMU is known for its strong research initiatives and community involvement, providing a rich educational experience that emphasizes both academic and personal growth for its students.",,https://www.aamu.edu/calendar/,"Undergraduate Programs: 60
Master's Programs: 304
PhD Programs: 153","College of Agricultural, Life and Natural Sciences
College of Business and Public Affairs
College of Education, Humanities and Behavioral Sciences
College of Engineering, Technology and Physical Sciences","Biology/Biological Sciences, General
Criminal Justice/Law Enforcement","BS in Computer Science
BS in Electrical Engineering
Civil and Mechanical Engineering",,"Alabama A&M University (AAMU) is a historically black university located in Huntsville, Alabama. It is known for its strong programs in engineering, business, and education. The university is also recognized for its commitment to research, particularly in areas related to agriculture, engineering, and the sciences. AAMU provides a nurturing academic environment that supports innovation and leadership among students. The campus is known for its beautiful landscape and modern facilities that enhance the learning experience."
Alabama State University,210,Alabama State University,ASU,https://www.alasu.edu,https://en.wikipedia.org/wiki/Alabama_State_University,private college,#395-435 in National Universities,4,"Montgomery, Alabama, United States",28%,"CAD $8,328","$36,594.00",,,"Alabama State University (ASU), located in Montgomery, Alabama, is a public historically black university. It was founded in 1867 by nine freed slaves known as the Marion Nine. ASU is a member of the Southwestern Athletic Conference and offers bachelor's, master's, and doctoral degrees across various fields of study. The university is known for its strong programs in education, business, and music. ASU also has a rich history in civil rights activism and is dedicated to providing diverse educational opportunities.",,https://www.alasu.edu/_qa/academic-calendar.php,"Undergraduate Programs: 99
Master's Programs: 12
PhD Programs: 2","College of Business Administration
College of Health Sciences
College of Science, Technology, Engineering, and Mathematics
Harold Lloyd Murphy Graduate School","Health Professions
Business Administration
Psychology","Bachelor of Social Work
Health Sciences
Bachelor of Science in Computer Science
Master of Business Administration
Bachelor of Science in Management
Bachelor of Science in Psychology",,"Alabama State University has experienced significant growth and development, transforming from its modest beginnings into a modern institution with a sprawling 395-acre campus adorned with multi-million dollar buildings. The university offers high-demand academic programs and engages in cutting-edge research conducted by both faculty and students. This growth underscores ASU's commitment to academic excellence and innovation."
